Unnamed: 0,Burundi1,DRC_E1,DRC_E2,DRC_E3,DRC_E4,DRC_S1,DRC_S2,DRC_S3,DRC_S4,DRC_S5,DRC_S6,DRC_S7,DRC_S8,DRC_S9,DRC_S10,DRC_W1,DRC_W2,DRC_W3,DRC_W4,DRC_W5,DRC_W6,DRC_W7,DRC_W8,Djibouti1,Egypt_CN1,Egypt_CN2,Egypt_UE1,Eritrea1,Ethiopia1,Ethiopia2,Ethiopia3,Ethiopia4,Ethiopia5,Ethiopia6,KEN_MTKR1,KEN_WSTR1,KEN_WSTR2,KEN_WSTR3,Libya1,Libya2,Rwanda1,SouthSudan1,Sudan1,Sudan2,Sudan3,TAN_CR1,TAN_CR2,TAN_LR1,TAN_NR1,TAN_SWR1,Uganda1,Uganda2,Uganda3
2030/11/18 16:00:00,0.24408311,0.164314143,0.224002141,0.114253638,0.136415011,0.237700692,0.198419676,0.148833222,0.196855533,0.175406037,0.156725571,0.297003431,0.13016477,0.123153654,0.283395968,0.217000308,0.298181454,0.287921206,0.215126189,0.337124913,0.298032223,0.198633374,0.279876214,0.420894396,0.206615575,0.231866228,0.263272404,0.380815731,0.465547604,0.420205138,0.449058666,0.458901529,0.375890096,0.399273855,0.416578013,0.459475413,0.488211961,0.450725495,0.448318183,0.367331808,0.258539322,0.344247995,0.281472184,0.314068079,0.24580971,0.540302141,0.560366162,0.482666765,0.552587764,0.525459107,0.556638253,0.459402408,0.455135807
2030/11/18 17:00:00,0.095146559,0.021543179,0.049771804,0.019752252,0.005975366,0.056497405,0.045366646,0.037459955,0.082738948,0.051301461,0.030866413,0.096623039,0.037706664,0.025690196,0.096030242,0.058672135,0.115258352,0.071065372,0.064787106,0.142394197,0.158363926,0.047306952,0.10480733,0.21335314,0.034457905,0.043626808,0.062759284,0.219013557,0.24400212,0.235094315,0.22441079,0.252925266,0.239451894,0.221310866,0.299007869,0.262839089,0.316240877,0.277603214,0.275212394,0.168972442,0.142204633,0.135564594,0.073744576,0.102482001,0.050047619,0.402802559,0.390177468,0.341072705,0.418055503,0.40113298,0.369215567,0.281714017,0.297880843
2030/11/18 18:00:00,0.026126005,0,0,0,0,0.008237889,2.31E-05,0.000211042,0.003339497,0.004252775,9.54E-06,0.009692402,0.000787845,2.60E-05,0.004392742,0.000921864,0.003226199,0.000245545,0.000398486,0.004111798,0.015638772,0.000146387,0.000108219,0.035811884,0,0,6.88E-05,0.055051443,0.064798267,0.054393821,0.053900557,0.048745792,0.071176583,0.07082866,0.111976086,0.124039687,0.140426709,0.132605285,0.080793405,0.006308031,0.01246581,0.001685001,0,0.000245323,0,0.19094954,0.176056235,0.156794695,0.162584632,0.207023857,0.160445851,0.145801019,0.144191233
2030/11/18 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123722,0,0,0.003018754,0.015071179,0.01370585,0.022792009,0.022141027,0.000170108,0,0,0,0,0,0,0.020209601,0.022123211,0.022946872,0.030323667,0.049508826,0.033106843,0.013667303,0.026718074
2030/11/18 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/18 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/18 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/18 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/19 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/19 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/19 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/19 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/19 05:00:00,0,0.000453066,0,0.007059598,3.51E-05,0.020022491,9.52E-07,0.000136172,0.000230425,0.00600409,0.007640841,0.012859069,0.001131826,0.000188235,0.00407379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/19 06:00:00,0.016718499,0.057505632,0.019980359,0.088600485,0.068824426,0.120119377,0.017631797,0.048386443,0.04809896,0.04830964,0.080418947,0.076046324,0.04854049,0.067734759,0.104891532,0.001748824,0.000847368,0.024360301,0.001398247,5.46E-05,0.000956737,0.001802288,0.000525943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563133,0,0,0,0.000293221,0,0,0,0,0,0,0,0
2030/11/19 07:00:00,0.124739946,0.247894869,0.184208698,0.299725572,0.260466607,0.318920415,0.163713621,0.225995229,0.197717712,0.106145472,0.271671514,0.146597059,0.174211152,0.232089127,0.305397984,0.15019854,0.07563798,0.205565288,0.130159944,0.098228905,0.085610001,0.138529428,0.143926816,0.052541256,0.034906839,0.034385913,0.012794741,0.034369109,0.036641953,0.01612432,0.062891017,0.022375748,0.044612437,0.034796687,0.032981901,0.029522764,0.029680904,0.041744623,0,0,0.121015442,0.056885147,0.018904126,0.044815451,0.06336894,0.014233283,0.039183389,0.023602826,0.043337421,0.036754451,0.03431687,0.007446748,0.031066024
2030/11/19 08:00:00,0.340956211,0.459910305,0.363038959,0.51590298,0.508033816,0.449137543,0.340730877,0.424698705,0.308923721,0.333622006,0.403231997,0.414662745,0.369810811,0.436209982,0.492593952,0.374830768,0.33515671,0.45059311,0.402810682,0.346841836,0.335453167,0.332715611,0.397494061,0.225188116,0.21213211,0.225456371,0.193997827,0.190880302,0.236331019,0.165953284,0.268324898,0.199476517,0.249191888,0.214016804,0.149075491,0.20488175,0.200631377,0.237376909,0.004572755,0.068683754,0.346203662,0.2676054,0.214978737,0.260256863,0.265930737,0.161114208,0.216920814,0.196305124,0.203647943,0.151351667,0.176204219,0.135155293,0.190121625
2030/11/19 09:00:00,0.541923146,0.642069253,0.532098972,0.675264033,0.664935307,0.505282872,0.499219941,0.566119203,0.466527738,0.475189289,0.487262736,0.511967647,0.537016898,0.581214617,0.532347177,0.535999615,0.463247969,0.57661997,0.554175228,0.493158078,0.527068293,0.425729237,0.552195399,0.438435652,0.397898834,0.418961261,0.399962647,0.407833852,0.471814701,0.384594631,0.492092638,0.429003167,0.487122586,0.445756931,0.300175838,0.406119667,0.415831681,0.434081081,0.148836632,0.278312158,0.580386426,0.46419005,0.420064395,0.464098889,0.461908978,0.355770952,0.453805617,0.379725783,0.44051432,0.338039802,0.396323693,0.337802048,0.402325712
2030/11/19 10:00:00,0.697210009,0.744695035,0.678681368,0.756916147,0.756044533,0.431617647,0.628975079,0.689226138,0.554512135,0.603325609,0.532874959,0.463538725,0.661105902,0.689797861,0.573220565,0.596917921,0.591774382,0.684877777,0.676761853,0.576098132,0.599076151,0.574048517,0.619307862,0.613330048,0.532525571,0.558097461,0.549990314,0.593266257,0.66773233,0.568315516,0.661981371,0.614097276,0.67524046,0.636215155,0.48260898,0.614582576,0.622629491,0.627767823,0.34643823,0.457665072,0.713459707,0.604182336,0.571365994,0.611561829,0.600754302,0.504153116,0.624735774,0.523320149,0.538221376,0.515442157,0.611120063,0.559891961,0.606368702
2030/11/19 11:00:00,0.617238606,0.774432624,0.785613396,0.754948025,0.760970615,0.371120242,0.778748152,0.771314585,0.645491765,0.6153926,0.4678684,0.752953922,0.753302612,0.78087344,0.521147581,0.645294391,0.66984113,0.794779697,0.731779442,0.624633487,0.735769227,0.731938158,0.671905861,0.72005942,0.616664268,0.643471772,0.645837517,0.709973031,0.780988304,0.679403862,0.769104164,0.728433403,0.78611141,0.749698595,0.607888898,0.708134714,0.747685747,0.728657999,0.501659015,0.586567211,0.78925868,0.691041109,0.665022741,0.701349699,0.678416178,0.675085147,0.760833699,0.615255749,0.65722059,0.634066072,0.73122312,0.695368755,0.729752736
2030/11/19 12:00:00,0.668587131,0.725963705,0.704991073,0.649569993,0.590166046,0.361600346,0.723141459,0.693171032,0.649598671,0.644828238,0.462171977,0.533289706,0.753664494,0.772891979,0.539217742,0.743132836,0.739159767,0.694394399,0.787301047,0.746967458,0.731138025,0.713602871,0.772080013,0.764788792,0.642976619,0.67063234,0.680515188,0.763081491,0.843842264,0.743197346,0.817682688,0.791096349,0.84748467,0.808746299,0.640880063,0.708527149,0.81497083,0.76589739,0.594402855,0.642965544,0.748239262,0.722749294,0.698940741,0.731675901,0.695021764,0.682684727,0.794576335,0.683437383,0.67394164,0.682481601,0.809556068,0.770680744,0.78356702
2030/11/19 13:00:00,0.537365505,0.630671256,0.728385406,0.598667706,0.54892571,0.346333045,0.72682589,0.720440652,0.694050708,0.477539241,0.361965552,0.609465686,0.690716442,0.681648841,0.468264516,0.758801614,0.745373623,0.675165331,0.727201696,0.764618612,0.74607313,0.74841374,0.755024178,0.758976908,0.614650948,0.642790712,0.660185766,0.681728801,0.849166938,0.739960399,0.810516919,0.795993455,0.849443045,0.790224328,0.658143432,0.712770652,0.801031901,0.736322116,0.63521825,0.656010264,0.664492857,0.706728838,0.678303578,0.709701218,0.662868297,0.728096351,0.802778107,0.679993889,0.725187615,0.6705704,0.823269956,0.767407869,0.754110122
2030/11/19 14:00:00,0.53520286,0.505112641,0.596264606,0.469941788,0.422931203,0.366184256,0.613873332,0.569811608,0.62533733,0.35866037,0.301185956,0.413683333,0.562123853,0.498716221,0.365717339,0.671169965,0.67348333,0.594446043,0.651923299,0.693678653,0.712136371,0.630209135,0.6731348,0.70070628,0.530768327,0.559739347,0.583285568,0.684417972,0.797622236,0.69659815,0.749947293,0.746885194,0.799898685,0.753520585,0.676801605,0.702413264,0.779227588,0.723258203,0.618102033,0.613499728,0.561016968,0.638601981,0.601605406,0.63428332,0.572908277,0.705593421,0.767876023,0.687483686,0.751071017,0.599648092,0.787857818,0.726688309,0.721012212
