locs,techs,timesteps,required_resource
DRC_S,final_demand,2040-01-11 12:00:00,-2066280.125
DRC_S,final_demand,2040-01-11 13:00:00,-2063918.662
DRC_S,final_demand,2040-01-11 14:00:00,-2089894.755
DRC_S,final_demand,2040-01-11 15:00:00,-2108786.459
DRC_S,final_demand,2040-01-11 16:00:00,-2059195.736
DRC_S,final_demand,2040-01-11 17:00:00,-2033219.643
DRC_S,final_demand,2040-01-11 18:00:00,-2200883.516
DRC_S,final_demand,2040-01-11 19:00:00,-2198522.053
DRC_S,final_demand,2040-01-11 20:00:00,-2153654.256
DRC_S,final_demand,2040-01-11 21:00:00,-2075725.977
DRC_S,final_demand,2040-01-11 22:00:00,-1962375.753
DRC_S,final_demand,2040-01-11 23:00:00,-1870278.696
DRC_S,final_demand,2040-01-12 00:00:00,-1728590.916
DRC_S,final_demand,2040-01-12 01:00:00,-1693168.971
DRC_S,final_demand,2040-01-12 02:00:00,-1664831.415
DRC_S,final_demand,2040-01-12 03:00:00,-1650662.637
DRC_S,final_demand,2040-01-12 04:00:00,-1695530.434
DRC_S,final_demand,2040-01-12 05:00:00,-1747482.62
DRC_S,final_demand,2040-01-12 06:00:00,-1679000.193
DRC_S,final_demand,2040-01-12 07:00:00,-1785266.028
DRC_S,final_demand,2040-01-12 08:00:00,-1891531.863
DRC_S,final_demand,2040-01-12 09:00:00,-1981267.457
DRC_S,final_demand,2040-01-12 10:00:00,-2002520.624
DRC_S,final_demand,2040-01-12 11:00:00,-2023773.791
DRC_S,final_demand,2040-01-12 12:00:00,-2042665.495
DRC_S,final_demand,2040-01-12 13:00:00,-2037942.569
DRC_S,final_demand,2040-01-12 14:00:00,-2066280.125
DRC_S,final_demand,2040-01-12 15:00:00,-2087533.292
DRC_S,final_demand,2040-01-12 16:00:00,-2045026.958
DRC_S,final_demand,2040-01-12 17:00:00,-2030858.18
DRC_S,final_demand,2040-01-12 18:00:00,-2205606.442
DRC_S,final_demand,2040-01-12 19:00:00,-2203244.979
DRC_S,final_demand,2040-01-12 20:00:00,-2160738.645
DRC_S,final_demand,2040-01-12 21:00:00,-2082810.366
DRC_S,final_demand,2040-01-12 22:00:00,-1978905.994
DRC_S,final_demand,2040-01-12 23:00:00,-1896254.789
DRC_S,final_demand,2040-01-13 00:00:00,-1761651.398
DRC_S,final_demand,2040-01-13 01:00:00,-1721506.527
DRC_S,final_demand,2040-01-13 02:00:00,-1683723.119
DRC_S,final_demand,2040-01-13 03:00:00,-1664831.415
DRC_S,final_demand,2040-01-13 04:00:00,-1712060.675
DRC_S,final_demand,2040-01-13 05:00:00,-1761651.398
DRC_S,final_demand,2040-01-13 06:00:00,-1695530.434
DRC_S,final_demand,2040-01-13 07:00:00,-1799434.806
DRC_S,final_demand,2040-01-13 08:00:00,-1903339.178
DRC_S,final_demand,2040-01-13 09:00:00,-1974183.068
DRC_S,final_demand,2040-01-13 10:00:00,-2021412.328
DRC_S,final_demand,2040-01-13 11:00:00,-2049749.884
DRC_S,final_demand,2040-01-13 12:00:00,-2071003.051
DRC_S,final_demand,2040-01-13 13:00:00,-2078087.44
DRC_S,final_demand,2040-01-13 14:00:00,-2101702.07
DRC_S,final_demand,2040-01-13 15:00:00,-2115870.848
DRC_S,final_demand,2040-01-13 16:00:00,-2068641.588
DRC_S,final_demand,2040-01-13 17:00:00,-2049749.884
DRC_S,final_demand,2040-01-13 18:00:00,-2224498.146
DRC_S,final_demand,2040-01-13 19:00:00,-2219775.22
DRC_S,final_demand,2040-01-13 20:00:00,-2174907.423
DRC_S,final_demand,2040-01-13 21:00:00,-2096979.144
DRC_S,final_demand,2040-01-13 22:00:00,-1988351.846
DRC_S,final_demand,2040-01-13 23:00:00,-1903339.178
DRC_S,final_demand,2040-01-14 00:00:00,-1768735.787
DRC_S,final_demand,2040-01-14 01:00:00,-1735675.305
DRC_S,final_demand,2040-01-14 02:00:00,-1707337.749
DRC_S,final_demand,2040-01-14 03:00:00,-1697891.897
DRC_S,final_demand,2040-01-14 04:00:00,-1733313.842
DRC_S,final_demand,2040-01-14 05:00:00,-1778181.639
DRC_S,final_demand,2040-01-14 06:00:00,-1700253.36
DRC_S,final_demand,2040-01-14 07:00:00,-1808880.658
DRC_S,final_demand,2040-01-14 08:00:00,-1919869.419
DRC_S,final_demand,2040-01-14 09:00:00,-2007243.55
DRC_S,final_demand,2040-01-14 10:00:00,-2049749.884
DRC_S,final_demand,2040-01-14 11:00:00,-2085171.829
DRC_S,final_demand,2040-01-14 12:00:00,-2122955.237
DRC_S,final_demand,2040-01-14 13:00:00,-2118232.311
DRC_S,final_demand,2040-01-14 14:00:00,-2127678.163
DRC_S,final_demand,2040-01-14 15:00:00,-2137124.015
DRC_S,final_demand,2040-01-14 16:00:00,-2092256.218
DRC_S,final_demand,2040-01-14 17:00:00,-2075725.977
DRC_S,final_demand,2040-01-14 18:00:00,-2250474.239
DRC_S,final_demand,2040-01-14 19:00:00,-2248112.776
DRC_S,final_demand,2040-01-14 20:00:00,-2203244.979
DRC_S,final_demand,2040-01-14 21:00:00,-2127678.163
DRC_S,final_demand,2040-01-14 22:00:00,-2009605.013
DRC_S,final_demand,2040-01-14 23:00:00,-1915146.493
DRC_S,final_demand,2040-01-15 00:00:00,-1768735.787
DRC_S,final_demand,2040-01-15 01:00:00,-1730952.379
DRC_S,final_demand,2040-01-15 02:00:00,-1695530.434
DRC_S,final_demand,2040-01-15 03:00:00,-1679000.193
DRC_S,final_demand,2040-01-15 04:00:00,-1726229.453
DRC_S,final_demand,2040-01-15 05:00:00,-1778181.639
DRC_S,final_demand,2040-01-15 06:00:00,-1714422.138
DRC_S,final_demand,2040-01-15 07:00:00,-1804157.732
DRC_S,final_demand,2040-01-15 08:00:00,-1896254.789
DRC_S,final_demand,2040-01-15 09:00:00,-1962375.753
DRC_S,final_demand,2040-01-15 10:00:00,-1993074.772
DRC_S,final_demand,2040-01-15 11:00:00,-2028496.717
DRC_S,final_demand,2040-01-15 12:00:00,-2066280.125
DRC_S,final_demand,2040-01-15 13:00:00,-2078087.44
DRC_S,final_demand,2040-01-15 14:00:00,-2101702.07
DRC_S,final_demand,2040-01-15 15:00:00,-2108786.459
DRC_S,final_demand,2040-01-15 16:00:00,-2073364.514
DRC_S,final_demand,2040-01-15 17:00:00,-2063918.662
DRC_S,final_demand,2040-01-15 18:00:00,-2248112.776
DRC_S,final_demand,2040-01-15 19:00:00,-2243389.85
DRC_S,final_demand,2040-01-15 20:00:00,-2198522.053
DRC_S,final_demand,2040-01-15 21:00:00,-2120593.774
DRC_S,final_demand,2040-01-15 22:00:00,-2011966.476
DRC_S,final_demand,2040-01-15 23:00:00,-1931676.734
DRC_S,final_demand,2040-01-16 00:00:00,-1903339.178
DRC_S,final_demand,2040-01-16 01:00:00,-1858471.381
DRC_S,final_demand,2040-01-16 02:00:00,-1820687.973
DRC_S,final_demand,2040-01-16 03:00:00,-1794711.88
